caution,difference_good_minus_fast,direction_confidence,fast_failure_n,fast_failure_present,fast_failure_rate,feature_family,feature_name,good_fast_reaction_n,good_fast_reaction_present,good_fast_reaction_rate,interpretation,sensitivity_type
mandatory sensitivity; can support only descriptive next step,0.075,3,16,2,0.125,round_level_proximity,round_band_0_10p,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.0625,3,16,15,0.9375,target_space_proxy_at_decision,clean_target_space_proxy,5,5,1.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.025,3,16,6,0.375,m1_candle_anatomy_before_decision,m1_close_low_le_0_30,5,2,0.4,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.0125,3,16,3,0.1875,session_hour,session_london,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.0,3,16,0,0.0,direction_confidence_stratum,direction_confidence_2,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.0,3,16,16,1.0,direction_confidence_stratum,direction_confidence_3,5,5,1.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.0,3,16,16,1.0,direction_source_stratum,direction_source_existing_metadata,5,5,1.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.0,3,16,0,0.0,direction_source_stratum,direction_source_pre_decision_sweep,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.0,3,16,0,0.0,pre_decision_sweep_type,pre_decision_m1_downward_sweep,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.0,3,16,0,0.0,pre_decision_sweep_type,pre_decision_m1_upward_sweep,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.0,3,16,0,0.0,pre_decision_sweep_type,pre_decision_sweep_inferred,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.4,2,11,11,1.0,fvg_ifvg_proximity_pre_entry,fvg_ifvg_near_20p,5,3,0.6,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.363636,2,11,4,0.363636,m1_candle_anatomy_before_decision,m1_upper_wick_ge_0_50,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.345455,2,11,5,0.454545,m1_candle_anatomy_before_decision,m1_close_high_ge_0_70,5,4,0.8,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.345455,2,11,6,0.545455,wick_body_proxy_before_decision,wick_body_m5_wick_dominant,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.254545,2,11,5,0.454545,wick_body_proxy_before_decision,wick_body_m1_wick_dominant,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.218182,2,11,2,0.181818,target_space_proxy_at_decision,liquidity_htf_recent_level,5,2,0.4,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.218182,2,11,2,0.181818,m15_context_before_decision,m15_close_high_ge_0_70,5,2,0.4,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.218182,2,11,2,0.181818,m15_context_before_decision,m15_close_low_le_0_30,5,2,0.4,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.218182,2,11,9,0.818182,volatility_range_context_before_decision,mid_volatility_context,5,3,0.6,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.181818,2,11,2,0.181818,m5_candle_anatomy_before_decision,m5_lower_wick_ge_0_50,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.181818,2,11,2,0.181818,session_hour,session_new_york,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.163636,2,11,7,0.636364,m15_context_before_decision,m15_large_body_ge_0_50,5,4,0.8,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.163636,2,11,4,0.363636,m5_candle_anatomy_before_decision,m5_upper_wick_ge_0_50,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.145455,2,11,5,0.454545,pre_decision_sweep_type,pre_decision_m1_upward_sweep,5,3,0.6,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.127273,2,11,3,0.272727,m5_candle_anatomy_before_decision,m5_close_high_ge_0_70,5,2,0.4,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.109091,2,11,1,0.090909,m1_candle_anatomy_before_decision,m1_lower_wick_ge_0_50,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.090909,2,11,1,0.090909,volatility_range_context_before_decision,high_volatility_context,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.090909,2,11,1,0.090909,session_hour,premium_session_open,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.090909,2,11,1,0.090909,session_hour,session_london,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.072727,2,11,3,0.272727,m1_candle_anatomy_before_decision,m1_close_low_le_0_30,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.072727,2,11,3,0.272727,m5_candle_anatomy_before_decision,m5_large_body_ge_0_60,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.054545,2,11,5,0.454545,m1_candle_anatomy_before_decision,m1_large_body_ge_0_60,5,2,0.4,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.054545,2,11,5,0.454545,m5_candle_anatomy_before_decision,m5_close_low_le_0_30,5,2,0.4,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.054545,2,11,5,0.454545,pre_decision_sweep_type,pre_decision_m1_downward_sweep,5,2,0.4,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.054545,2,11,5,0.454545,round_level_proximity,round_band_10_20p,5,2,0.4,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,-0.036364,2,11,7,0.636364,numeric_level_confluence,numeric_level_confluence_20p,5,3,0.6,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.036364,2,11,4,0.363636,round_level_proximity,round_band_gt_20p,5,2,0.4,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.018182,2,11,2,0.181818,compression_overlap_proxy_before_decision,compression_overlap_proxy,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.018182,2,11,2,0.181818,round_level_proximity,round_band_0_10p,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.0,2,11,11,1.0,target_space_proxy_at_decision,clean_target_space_proxy,5,5,1.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.0,2,11,11,1.0,direction_confidence_stratum,direction_confidence_2,5,5,1.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.0,2,11,0,0.0,direction_confidence_stratum,direction_confidence_3,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.0,2,11,0,0.0,direction_source_stratum,direction_source_existing_metadata,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.0,2,11,11,1.0,direction_source_stratum,direction_source_pre_decision_sweep,5,5,1.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.0,2,11,0,0.0,compression_overlap_proxy_before_decision,expansion_before_decision_proxy,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.0,2,11,11,1.0,fvg_ifvg_proximity_pre_entry,fvg_ifvg_available,5,5,1.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
confidence 2 inferred directions are weaker; confidence-2-only separation cannot unlock Phase 4,0.0,2,11,11,1.0,pre_decision_sweep_type,pre_decision_sweep_inferred,5,5,1.0,directional_descriptive_only_phase_4_blocked,confidence_2_only_caution
