diagnostic_outcome_group,direction_confidence,priority_reasons,priority_score,sample_id,sample_source,visual_html_path
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_202,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_202.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_206,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_206.html
MIXED_REACTION,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_207,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_207.html
CHOP_AFTER_ENTRY,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_209,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_209.html
MIXED_REACTION,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_218,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_218.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_221,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_221.html
CHOP_AFTER_ENTRY,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_222,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_222.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_223,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_223.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_236,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_236.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_239,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_239.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_242,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_242.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_247,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_247.html
CHOP_AFTER_ENTRY,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_250,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_250.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_262,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_262.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_267,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_267.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_273,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_273.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION|GOOD_WITH_H1_FAILURE_MARKER_PRESENT,4,sample_286,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_286.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_291,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_291.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_292,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_292.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_295,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_295.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_008,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_008.html
MIXED_REACTION,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_009,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_009.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_012,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_012.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_021,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_021.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_022,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_022.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_027,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_027.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_030,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_030.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_039,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_039.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_044,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_044.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_047,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_047.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_051,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_051.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_053,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_053.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_054,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_054.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_057,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_057.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_065,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_065.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_067,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_067.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_068,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_068.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_076,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_076.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_078,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_078.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_079,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_079.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_085,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_085.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_094,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_094.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_095,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_095.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_098,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_098.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_102,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_102.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_103,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_103.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_106,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_106.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_109,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_109.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_110,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_110.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_112,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_112.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_113,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_113.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_117,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_117.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_119,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_119.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_121,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_121.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_127,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_127.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_128,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_128.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_129,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_129.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_130,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_130.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_139,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_139.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_140,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_140.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_147,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_147.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_149,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_149.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_152,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_152.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_153,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_153.html
MIXED_REACTION,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_160,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_160.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_161,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_161.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_164,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_164.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_166,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_166.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_171,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_171.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_175,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_175.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_182,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_182.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_187,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_187.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_189,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_189.html
MIXED_REACTION,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_191,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_191.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_192,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_192.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_193,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_193.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_197,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_197.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_199,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_199.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_201,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_201.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_203,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_203.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_211,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_211.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_212,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_212.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_213,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_213.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_215,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_215.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_217,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_217.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_220,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_220.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_225,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_225.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_226,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_226.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_227,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_227.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_230,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_230.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_231,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_231.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_233,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_233.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_235,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_235.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_237,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_237.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_241,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_241.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_243,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_243.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_245,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_245.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_249,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_249.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_253,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_253.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_255,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_255.html
CHOP_AFTER_ENTRY,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_256,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_256.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_257,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_257.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_259,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_259.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_261,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_261.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_263,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_263.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_265,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_265.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_269,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_269.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_272,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_272.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_279,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_279.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_282,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_282.html
FAST_FAILURE,3,FAST_WITH_H2_SUCCESS_MARKER_PRESENT,2,sample_283,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_283.html
MIXED_REACTION,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_285,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_285.html
MIXED_REACTION,3,SECONDARY_GROUP_REVIEW_ONLY,2,sample_287,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_287.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_294,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_294.html
GOOD_FAST_REACTION,3,GOOD_WITH_H1_FAILURE_MARKER_PRESENT,2,sample_297,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_297.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION,2,sample_299,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_299.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_002,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_002.html
FAST_FAILURE,3,LOW_PRIORITY_BASELINE,0,sample_004,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_004.html
GOOD_FAST_REACTION,3,LOW_PRIORITY_BASELINE,0,sample_013,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_013.html
